shopping_id,loja_nome,segmento,cupons,clientes,valor_total,ticket_medio,shopping_sigla,ranking
3,Carter's,Infantil,54,49,14816.07,274.37,NK,32
3,TNG,Moda,27,23,14405.5,533.54,NK,33
3,Track & Field,Moda,34,27,14034.6,412.78,NK,34
3,Youcom,Moda,44,35,13880.61,315.47,NK,35
3,Studio Z,Calçados,74,69,13353.78,180.46,NK,36
3,Outback Steakhouse,Gastronomia,51,43,12506.92,245.23,NK,37
3,Camicado,Casa e Decoração,61,49,12423.65,203.67,NK,38
3,Hering Store,Moda,42,38,12335.08,293.69,NK,39
3,Hope,Moda,33,28,12014.1,364.06,NK,40
3,Bagaggio,Presentes e Acessórios,14,13,11994.98,856.78,NK,41
3,Sinhá Benta Gourmet,Gastronomia,144,88,11962.1,83.07,NK,42
3,Aramis,Moda,11,9,11958.31,1087.12,NK,43
3,Cobasi,Pets,74,59,11571.45,156.37,NK,44
3,Tommy Hilfiger,Moda,17,16,11402.05,670.71,NK,45
3,Sandra Duwe,Joalheria,4,4,9645.0,2411.25,NK,46
3,Game Mania,Eletrônicos,3,3,8519.9,2839.97,NK,47
3,Farm,Moda Feminina,20,17,7689.91,384.5,NK,48
3,Gondolier,Gastronomia,104,81,7615.03,73.22,NK,49
3,Democrata,Calçados,17,15,7587.75,446.34,NK,50
3,Paquetá,Esportes,23,17,7583.66,329.72,NK,51
3,Pratafina,Presentes e Acessórios,42,39,7454.0,177.48,NK,52
3,Intimissimi,Moda Feminina,11,10,7247.06,658.82,NK,53
3,Lupo,Moda,39,36,7037.0,180.44,NK,54
3,Kombina Felice,Gastronomia - Restaurante,30,23,6740.13,224.67,NK,55
3,Laci Baruffi,Presentes e Acessórios,10,10,6702.45,670.25,NK,56
3,McDonald's,Gastronomia,143,90,6568.01,45.93,NK,57
3,Bottero,Calçados,9,9,6322.03,702.45,NK,58
3,Life by Vivara,Joalheria,11,10,6298.0,572.55,NK,59
3,Feng Cheng,Gastronomia,78,57,5937.51,76.12,NK,60
3,Anjos Colchões & Sofás,Casa e Decoração,1,1,5899.0,5899.0,NK,61
3,Kfc,Gastronomia,111,78,5809.98,52.34,NK,62
3,Mini Kalzone,Gastronomia,246,145,5715.7,23.23,NK,63
3,Belshop,Beleza e Bem-estar,42,33,5701.01,135.74,NK,64
3,LIVE!,Moda,14,14,5695.76,406.84,NK,65
3,Victor Hugo,Presentes e Acessórios,2,2,5561.99,2781.0,NK,66
3,Clube Melissa,Calçados,15,13,5302.93,353.53,NK,67
3,Café Cultura,Gastronomia,119,68,5029.45,42.26,NK,68
3,Cavezzale,Presentes e Acessórios,12,11,4876.31,406.36,NK,69
3,OJO,Ótica,4,4,4850.0,1212.5,NK,70
3,General Lyy,Moda,18,15,4717.72,262.1,NK,71
3,Claro,Telefonia,2,1,4699.0,2349.5,NK,72
3,Natura,Beleza e Bem-estar,41,38,4512.46,110.06,NK,73
3,TIM,Telefonia,1,1,4487.76,4487.76,NK,74
3,World Tennis,Calçados,10,9,4257.63,425.76,NK,75
3,Mamma Mia Express,Gastronomia,68,51,4029.51,59.26,NK,76
3,Kings Sneakers,Calçados,6,6,3819.1,636.52,NK,77
3,Due Sapori,Gastronomia,62,45,3741.9,60.35,NK,78
3,Ophicina Footwear,Moda,5,5,3684.48,736.9,NK,79
3,Authentic Feet,Moda,6,6,3430.43,571.74,NK,80
3,Freddo,Gastronomia,79,61,3336.0,42.23,NK,81
3,Reserva,Moda,6,6,3180.0,530.0,NK,82
3,Burger King,Gastronomia,55,42,3080.45,56.01,NK,83
3,Ótica Chroma,Ótica,2,2,3018.0,1509.0,NK,84
3,Tech Smart,Eletrônicos,11,11,2778.9,252.63,NK,85
3,Usaflex,Calçados,7,7,2768.93,395.56,NK,86
3,Daniela Tombini,Moda,8,5,2682.24,335.28,NK,87
3,Crocs,Calçados,5,5,2650.0,530.0,NK,88
3,WePink,Beleza e Bem-estar,18,16,2574.1,143.01,NK,89
3,Orientali,Gastronomia,40,26,2527.13,63.18,NK,90
