shopping_id,cnpj,loja_nome,segmento,status_atual,last_time,data_inativacao,cupons,clientes,valor_total,shopping_sigla,participou,inativada_na_promo
2,55403860000168,Buddha Spa,Serviços,ATIVO,2026-03-20 14:29:31,,5,4,2280.0,BS,True,False
2,49961545006518,Paquetá Esportes,Esportes,ATIVO,2026-03-20 14:29:31,,9,7,2262.89,BS,True,False
2,03406250000467,Balneário Shopping - Estacionamento,Serviços,ATIVO,2024-12-11 21:24:20,,58,54,2235.0,BS,True,False
2,02876218000563,Pizza Hut,Gastronomia,ATIVO,2024-12-11 21:24:20,,34,25,2199.59,BS,True,False
2,27274663000231,Tea Shop,Gastronomia,ATIVO,2024-12-11 21:24:20,,9,8,2156.18,BS,True,False
2,16945787004353,Souq,Moda Feminina,ATIVO,2024-12-11 21:24:20,,3,3,2043.6,BS,True,False
2,41911591000136,Plié,Moda,ATIVO,2024-12-11 21:24:20,,9,8,1998.7,BS,True,False
2,45687735000173,Reserva,Moda,ATIVO,2026-04-23 11:58:59,,2,2,1927.0,BS,True,False
2,32306307002740,Creamy Skin Care,Beleza e Bem-estar,ATIVO,2024-12-11 21:24:20,,10,10,1832.68,BS,True,False
2,29155192000600,Duladu,Gastronomia,ATIVO,2025-09-29 06:56:49,,8,7,1810.6,BS,True,False
2,23112252000108,Camarão Express,Gastronomia,ATIVO,2024-12-11 21:24:20,,27,19,1804.0,BS,True,False
2,14102914000178,MB acessórios,Presentes e Acessórios,ATIVO,2024-12-11 21:24:20,,11,9,1722.27,BS,True,False
2,26978754000295,Shantal Grill & Risoto,Gastronomia,ATIVO,2026-02-12 12:01:01,,15,11,1717.0,BS,True,False
2,11377588000628,Burger King,Gastronomia,ATIVO,2026-04-23 12:01:50,,32,21,1657.89,BS,True,False
2,23449012000365,Quiksilver,Moda,ATIVO,2024-12-11 21:24:20,,3,3,1638.52,BS,True,False
2,09111729000100,10 Pastéis,Gastronomia,ATIVO,2024-12-11 21:24:20,,42,23,1616.45,BS,True,False
2,94087921001663,Gnc Balneario,Lazer,ATIVO,2026-03-20 14:29:31,,28,19,1598.0,BS,True,False
2,30787452000126,Orientali,Gastronomia,ATIVO,2024-12-11 21:24:20,,22,15,1472.2,BS,True,False
2,02714890000129,Liquori Caffè Gourmet,Gastronomia,ATIVO,2026-03-20 14:29:31,,28,22,1465.0,BS,True,False
2,33004058002025,Anselmi,Moda Feminina,INATIVO,2026-03-20 07:39:37,,1,1,1456.0,BS,True,True
2,08985078000114,Subway,Gastronomia,ATIVO,2024-12-11 21:24:20,,39,28,1445.2,BS,True,False
2,03366550000117,Manly,Moda Feminina,ATIVO,2026-04-23 11:45:56,,4,3,1356.3,BS,True,False
2,60276975000179,Bread Pide,Gastronomia,ATIVO,2025-10-27 13:16:12,,22,19,1354.79,BS,True,False
2,06269953000136,Pegada,Calçados,ATIVO,2026-03-23 08:10:06,,3,1,1329.96,BS,True,False
2,15815603000623,Pecorino,Gastronomia,ATIVO,2024-12-11 21:24:20,,4,4,1299.5,BS,True,False
2,02148561000320,Lacoste,Moda,ATIVO,2024-12-11 21:24:20,,3,2,1298.0,BS,True,False
2,02241978000170,Bonna Panquecas e Massas,Gastronomia,ATIVO,2024-12-11 21:24:20,,24,17,1255.4,BS,True,False
2,31848701000109,Cores em Cacau,Gastronomia,ATIVO,2024-12-11 21:24:20,,2,2,1165.2,BS,True,False
2,20723267000114,Loft,Eletrônicos,ATIVO,2026-03-20 08:05:15,,5,5,1150.8,BS,True,False
2,15048124004373,Sephora,Beleza e Bem-estar,INATIVO,2026-03-20 08:40:34,,1,1,1043.16,BS,True,True
2,18865201000389,"Quem disse, Berenice?",Beleza e Bem-estar,ATIVO,2024-12-11 21:24:20,,16,14,1020.65,BS,True,False
2,25286562000174,Growfit,Gastronomia,ATIVO,2025-07-21 06:32:43,,13,9,971.95,BS,True,False
2,57109588000133,Bondyou,Presentes e Acessórios,ATIVO,2025-09-11 07:05:09,,11,10,940.0,BS,True,False
2,23486280000195,Clube Melissa,Calçados,ATIVO,2026-03-23 08:14:35,,5,4,916.4,BS,True,False
2,39623353000183,Mr. Cheff,Gastronomia,ATIVO,2026-03-20 14:18:15,,16,6,732.83,BS,True,False
2,09611669018999,Animale,Moda Feminina,INATIVO,2026-03-20 14:29:31,,1,1,678.3,BS,True,True
2,26715139000105,Fun Case,Eletrônicos,ATIVO,2026-03-20 07:59:15,,3,3,673.0,BS,True,False
2,06102194000112,Chilli Beans,Ótica,ATIVO,2026-03-20 07:55:50,,2,2,399.96,BS,True,False
2,30116147000102,Detoni Beauty,Beleza e Bem-estar,ATIVO,2026-04-27 13:09:47,,1,1,390.0,BS,True,False
2,03888580000274,Bob's,Gastronomia,ATIVO,2024-12-11 21:24:20,,15,12,381.4,BS,True,False
2,49798673000128,Jah Açaí,Gastronomia,ATIVO,2026-03-20 07:59:53,,13,7,372.5,BS,True,False
2,38468167000154,Los Mariachis,Gastronomia,ATIVO,2026-02-19 12:30:42,,4,1,223.0,BS,True,False
2,53599236000152,Nutty Bavarian,Gastronomia,ATIVO,2024-12-11 21:24:20,,5,4,222.0,BS,True,False
2,31738634000170,Acium,Presentes e Acessórios,ATIVO,2024-12-11 21:24:20,,1,1,184.81,BS,True,False
2,49538746000142,Milky moo,Gastronomia,ATIVO,2026-03-20 14:29:31,,3,3,167.0,BS,True,False
2,58740351000119,Juistreet,Gastronomia,ATIVO,2025-03-21 11:52:59,,5,4,162.7,BS,True,False
2,46035164000155,Roasted Potato & Suco Bagaço,Gastronomia,ATIVO,2026-03-20 14:19:13,,13,11,122.0,BS,True,False
2,41908357000150,Acuvue Lentes,Ótica,ATIVO,2026-03-30 10:58:50,,0,0,0.0,BS,False,False
2,55457158000187,Biscoitê,Calçados,INATIVO,2026-03-20 07:39:05,,0,0,0.0,BS,False,True
2,20036374000255,Boiko,Joalheria,ATIVO,2025-04-29 06:25:36,,0,0,0.0,BS,False,False
2,23844753000189,Celular Shop,Eletrônicos,ATIVO,2024-12-11 21:24:20,,0,0,0.0,BS,False,False
2,15425654003400,Cotton On,Beleza e Bem-estar,INATIVO,2026-03-20 07:56:36,,0,0,0.0,BS,False,True
2,16831908000187,Crocs,Calçados,ATIVO,2026-03-23 08:14:16,,0,0,0.0,BS,False,False
2,61682759000277,Dengo,Beleza e Bem-estar,INATIVO,2026-03-20 07:57:07,,0,0,0.0,BS,False,True
2,28281777000271,Dvie Joalheria,Joalheria,ATIVO,2026-03-20 07:57:33,,0,0,0.0,BS,False,False
2,39403434000178,FORUM,Moda,ATIVO,2026-03-23 08:13:37,,0,0,0.0,BS,False,False
2,04852969000141,FREDDO,Gastronomia,ATIVO,2026-03-19 08:06:20,,0,0,0.0,BS,False,False
2,12015273000199,Game Mania,Eletrônicos,INATIVO,2026-04-06 06:29:52,,0,0,0.0,BS,False,True
2,51321247000574,Kings Sneakers,Calçados,INATIVO,2026-03-20 08:00:52,,0,0,0.0,BS,False,True
